股票代码,股票名称,拼音简写
000001.SZ,平安银行,"['PAYH', 'PAYX']"
000002.SZ,万科A,"['MKA', 'WKA']"
000004.SZ,国农科技,['GNKJ']
000005.SZ,世纪星源,['SJXY']
000006.SZ,深振业A,['SZYA']
000007.SZ,全新好,['QXH']
000008.SZ,神州高铁,['SZGT']
000009.SZ,中国宝安,['ZGBA']
000010.SZ,美丽生态,['MLST']
000011.SZ,深物业A,['SWYA']
000012.SZ,南玻A,['NBA']
000014.SZ,沙河股份,['SHGF']
000016.SZ,深康佳A,['SKJA']
000017.SZ,深中华A,['SZHA']
000018.SZ,神州长城,"['SZCC', 'SZZC']"
000019.SZ,深深宝A,['SSBA']
000020.SZ,深华发A,['SHFA']
000021.SZ,深科技,['SKJ']
000022.SZ,深赤湾A,['SCWA']
000023.SZ,深天地A,['STDA']
000025.SZ,特力A,['TLA']
000026.SZ,飞亚达A,['FYDA']
000027.SZ,深圳能源,['SZNY']
000028.SZ,国药一致,['GYYZ']
000029.SZ,深深房A,['SSFA']
000030.SZ,富奥股份,['FAGF']
000031.SZ,中粮地产,['ZLDC']
000032.SZ,深桑达A,['SSDA']
000033.SZ,*ST新都,['*STXD']
000034.SZ,神州数码,['SZSM']
000035.SZ,中国天楹,['ZGTY']
000036.SZ,华联控股,['HLKG']
000037.SZ,*ST南电A,['*STNDA']
000038.SZ,深大通,['SDT']
000039.SZ,中集集团,['ZJJT']
000040.SZ,宝安地产,['BADC']
000042.SZ,中洲控股,['ZZKG']
000043.SZ,中航地产,['ZHDC']
000045.SZ,深纺织A,['SFZA']
000046.SZ,泛海控股,['FHKG']
000048.SZ,康达尔,['KDE']
000049.SZ,德赛电池,['DSDC']
000050.SZ,深天马A,['STMA']
000055.SZ,方大集团,['FDJT']
000056.SZ,皇庭国际,['HTGJ']
000058.SZ,深赛格,['SSG']
000059.SZ,华锦股份,['HJGF']
000060.SZ,中金岭南,['ZJLN']
000061.SZ,农产品,['NCP']
000062.SZ,深圳华强,"['SZHJ', 'SZHQ']"
000063.SZ,中兴通讯,['ZXTX']
000065.SZ,北方国际,['BFGJ']
000066.SZ,长城电脑,"['CCDN', 'ZCDN']"
000068.SZ,华控赛格,['HKSG']
000069.SZ,华侨城A,['HQCA']
000070.SZ,特发信息,['TFXX']
000078.SZ,海王生物,['HWSW']
000088.SZ,盐田港,['YTG']
000089.SZ,深圳机场,['SZJC']
000090.SZ,天健集团,['TJJT']
000096.SZ,广聚能源,"['AJNY', 'GJNY']"
000099.SZ,中信海直,['ZXHZ']
000100.SZ,TCL集团,['TCLJT']
000150.SZ,宜华健康,['YHJK']
000151.SZ,中成股份,['ZCGF']
000153.SZ,丰原药业,['FYYY']
000155.SZ,*ST川化,['*STCH']
000156.SZ,华数传媒,"['HSCM', 'HSZM']"
000157.SZ,中联重科,"['ZLCK', 'ZLZK']"
000158.SZ,常山股份,['CSGF']
000159.SZ,国际实业,['GJSY']
000166.SZ,申万宏源,"['SMHY', 'SWHY']"
000301.SZ,东方市场,['DFSC']
000333.SZ,美的集团,['MDJT']
000338.SZ,潍柴动力,['WCDL']
000400.SZ,许继电气,['XJDQ']
000401.SZ,冀东水泥,['JDSN']
000402.SZ,金融街,['JRJ']
000403.SZ,ST生化,['STSH']
000404.SZ,华意压缩,['HYYS']
000407.SZ,胜利股份,['SLGF']
000408.SZ,*ST金源,['*STJY']
000409.SZ,山东地矿,['SDDK']
000410.SZ,沈阳机床,"['CYJC', 'SYJC']"
000411.SZ,英特集团,['YTJT']
000413.SZ,东旭光电,['DXGD']
000415.SZ,渤海金控,['BHJK']
000416.SZ,民生控股,['MSKG']
000417.SZ,合肥百货,"['GFBH', 'HFBH']"
000418.SZ,小天鹅A,['XTEA']
000419.SZ,通程控股,['TCKG']
000420.SZ,吉林化纤,"['JLHQ', 'JLHX']"
000421.SZ,南京中北,['NJZB']
000422.SZ,湖北宜化,['HBYH']
000423.SZ,东阿阿胶,"['DAAJ', 'DEAJ', 'DAEJ', 'DEEJ']"
000425.SZ,徐工机械,['XGJX']
000426.SZ,兴业矿业,['XYKY']
000428.SZ,华天酒店,['HTJD']
000429.SZ,粤高速A,['YGSA']
000430.SZ,张家界,['ZJJ']
000488.SZ,晨鸣纸业,['CMZY']
000498.SZ,山东路桥,['SDLQ']
000501.SZ,鄂武商A,['EWSA']
000502.SZ,绿景控股,['LJKG']
000503.SZ,海虹控股,"['HHKG', 'HJKG']"
000504.SZ,*ST生物,['*STSW']
000505.SZ,*ST珠江,['*STZJ']
000506.SZ,中润资源,['ZRZY']
000507.SZ,珠海港,['ZHG']
000509.SZ,华塑控股,['HSKG']
000510.SZ,金路集团,['JLJT']
000511.SZ,*ST烯碳,['*STXT']
000513.SZ,丽珠集团,['LZJT']
000514.SZ,渝开发,['YKF']
000516.SZ,国际医学,['GJYX']
000517.SZ,荣安地产,['RADC']
000518.SZ,四环生物,['SHSW']
000519.SZ,江南红箭,"['JNGJ', 'JNHJ']"
000520.SZ,长航凤凰,"['CHFH', 'ZHFH']"
000521.SZ,美菱电器,['MLDQ']
000523.SZ,广州浪奇,"['AZLJ', 'GZLJ', 'AZLQ', 'GZLQ']"
000524.SZ,岭南控股,['LNKG']
000525.SZ,红太阳,"['GTY', 'HTY']"
000526.SZ,银润投资,['YRTZ']
000528.SZ,柳工,['LG']
000529.SZ,广弘控股,"['AHKG', 'GHKG']"
000530.SZ,大冷股份,['DLGF']
000531.SZ,穗恒运A,['SHYA']
000532.SZ,力合股份,"['LGGF', 'LHGF']"
000533.SZ,万家乐,"['MJL', 'WJL', 'MJY', 'WJY']"
000534.SZ,万泽股份,"['MZGF', 'WZGF']"
000536.SZ,华映科技,['HYKJ']
000537.SZ,广宇发展,"['AYFZ', 'GYFZ']"
000538.SZ,云南白药,['YNBY']
000539.SZ,粤电力A,['YDLA']
000540.SZ,中天城投,['ZTCT']
000541.SZ,佛山照明,['FSZM']
000543.SZ,皖能电力,['WNDL']
000544.SZ,中原环保,['ZYHB']
000545.SZ,金浦钛业,['JPTY']
000546.SZ,金圆股份,['JYGF']
